date,symbol,broker,side,transaction_type,lot,value,avg,net_value,net_lot
2025-08-29,BBRI,BK,BUY,NET,364256,147961198000,4062.6150670496,147961198000.0,364256.0
2025-08-29,BBRI,KZ,BUY,NET,176563,71855705000,4069.6823649956,71855705000.0,176563.0
2025-08-29,BBRI,ZP,BUY,NET,95020,38612099000,4062.2843174152,38612099000.0,95020.0
2025-08-29,BBRI,YU,BUY,NET,88247,35869881000,4061.8764585589,35869881000.0,88247.0
2025-08-29,BBRI,SQ,BUY,NET,53380,21561705000,4050.2699678707,21561705000.0,53380.0
2025-08-29,BBRI,RX,BUY,NET,41768,17071624000,4084.5471642296,17071624000.0,41768.0
2025-08-29,BBRI,HP,BUY,NET,29368,11920078000,4058.439762151,11920078000.0,29368.0
2025-08-29,BBRI,TP,BUY,NET,15241,6190597000,4065.256187857,6190597000.0,15241.0
2025-08-29,BBRI,BQ,BUY,NET,14001,5674370000,4055.5992705973,5674370000.0,14001.0
2025-08-29,BBRI,RO,BUY,NET,9803,3981421000,4063.8295226251,3981421000.0,9803.0
2025-08-29,BBRI,AK,SELL,NET,348714,141453033000,4056.1420364243,-141453033000.0,-348714.0
2025-08-29,BBRI,AZ,SELL,NET,94406,38585189000,4085.0985236048,-38585189000.0,-94406.0
2025-08-29,BBRI,CC,SELL,NET,94755,38404822000,4059.3747472608,-38404822000.0,-94755.0
2025-08-29,BBRI,XL,SELL,NET,79999,32477618000,4061.1688205464,-32477618000.0,-79999.0
2025-08-29,BBRI,PD,SELL,NET,76000,30899477000,4064.1366069153,-30899477000.0,-76000.0
2025-08-29,BBRI,YP,SELL,NET,41999,17097325000,4062.588292177,-17097325000.0,-41999.0
2025-08-29,BBRI,BB,SELL,NET,36000,14621391000,4062.0094035217,-14621391000.0,-36000.0
2025-08-29,BBRI,LG,SELL,NET,34441,14007295000,4066.4279989313,-14007295000.0,-34441.0
2025-08-29,BBRI,KK,SELL,NET,30856,12520747000,4059.4650879717,-12520747000.0,-30856.0
2025-08-29,BBRI,XC,SELL,NET,22239,9022721000,4059.8547341616,-9022721000.0,-22239.0
2025-08-29,BBCA,YP,BUY,NET,214180,174624975000,8159.1853146714,174624975000.0,214180.0
2025-08-29,BBCA,XL,BUY,NET,179785,146742620000,8166.8277899752,146742620000.0,179785.0
2025-08-29,BBCA,SQ,BUY,NET,164567,133131687500,8138.2701874154,133131687500.0,164567.0
2025-08-29,BBCA,BK,BUY,NET,143178,116271527500,8133.7680456,116271527500.0,143178.0
2025-08-29,BBCA,XC,BUY,NET,77186,63007737500,8166.8303351273,63007737500.0,77186.0
2025-08-29,BBCA,CC,BUY,NET,74909,61021672500,8152.435504216,61021672500.0,74909.0
