symbol,date,close,volume,ret_1,vol_ratio,ret_1_lag1,ret_1_lag2,ret_1_lag3,vol_ratio_lag1,vol_ratio_lag2,vol_ratio_lag3,is_price_lt_500,top_buyer,top_buyer_concentration,top_buyer_net_value,total_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio
AADI,2025-09-02,,,,,,,,,,,0,,,,,,,,
AALI,2025-09-02,,,,,,,,,,,0,,,,,,,,
ABBA,2025-09-02,,,,,,,,,,,0,,,,,,,,
ABDA,2025-09-02,,,,,,,,,,,0,,,,,,,,
ABMM,2025-09-02,,,,,,,,,,,0,,,,,,,,
ACES,2025-09-02,,,,,,,,,,,0,,,,,,,,
ACRO,2025-09-02,,,,,,,,,,,0,,,,,,,,
ACST,2025-09-02,,,,,,,,,,,0,,,,,,,,
ADCP,2025-09-02,,,,,,,,,,,0,,,,,,,,
ADES,2025-09-02,,,,,,,,,,,0,,,,,,,,
ADHI,2025-09-02,,,,,,,,,,,0,,,,,,,,
ADMF,2025-09-02,,,,,,,,,,,0,,,,,,,,
ADMG,2025-09-02,,,,,,,,,,,0,,,,,,,,
ADMR,2025-09-02,,,,,,,,,,,0,,,,,,,,
ADRO,2025-09-02,,,,,,,,,,,0,,,,,,,,
AEGS,2025-09-02,,,,,,,,,,,0,,,,,,,,
AGAR,2025-09-02,,,,,,,,,,,0,,,,,,,,
AGII,2025-09-02,,,,,,,,,,,0,,,,,,,,
AGRO,2025-09-02,,,,,,,,,,,0,,,,,,,,
AGRS,2025-09-02,,,,,,,,,,,0,,,,,,,,
AHAP,2025-09-02,,,,,,,,,,,0,,,,,,,,
AIMS,2025-09-02,,,,,,,,,,,0,,,,,,,,
AISA,2025-09-02,,,,,,,,,,,0,,,,,,,,
AKKU,2025-09-02,,,,,,,,,,,0,,,,,,,,
AKPI,2025-09-02,,,,,,,,,,,0,,,,,,,,
AKRA,2025-09-02,,,,,,,,,,,0,,,,,,,,
AKSI,2025-09-02,,,,,,,,,,,0,,,,,,,,
ALDO,2025-09-02,,,,,,,,,,,0,,,,,,,,
ALII,2025-09-02,,,,,,,,,,,0,,,,,,,,
ALKA,2025-09-02,,,,,,,,,,,0,,,,,,,,
ALMI,2025-09-02,,,,,,,,,,,0,,,,,,,,
ALTO,2025-09-02,,,,,,,,,,,0,,,,,,,,
AMAG,2025-09-02,,,,,,,,,,,0,,,,,,,,
AMAN,2025-09-02,,,,,,,,,,,0,,,,,,,,
AMAR,2025-09-02,,,,,,,,,,,0,,,,,,,,
