symbol,date,close,volume,ret_1,vol_ratio,ret_1_lag1,ret_1_lag2,ret_1_lag3,vol_ratio_lag1,vol_ratio_lag2,vol_ratio_lag3,is_price_lt_500,top_buyer,top_buyer_concentration,top_buyer_net_value,total_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio,price_source_date,broker_source_date,age_price_days,age_broker_days,is_market_closed
AADI,2025-09-04,7250.0,13726000.0,0.010452961672473782,0.6184693716628743,,,,1.0,,,0,AK,0.3226688761075931,15865890000.0,6809832500.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AALI,2025-09-04,7350.0,890700.0,0.006849315068493178,0.7214774614231907,,,,1.0,,,0,YU,0.312793191677184,1133867500.0,267255000.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ABBA,2025-09-04,42.0,1293800.0,0.0,1.2759368836291913,,,,1.0,,,1,AK,0.7756614668620184,37800000.0,0.0,9.0,5.0,14.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ABDA,2025-09-04,3400.0,100.0,0.0,1.0,,,,1.0,,,0,,,,,,,,,2025-09-01,,3,,1
ABMM,2025-09-04,2960.0,481700.0,0.0,0.8368658790826963,,,,1.0,,,0,AK,0.4563575036096649,228516000.0,15616000.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ACES,2025-09-04,440.0,50209300.0,0.00917431192660545,0.7959357725884205,,,,1.0,,,1,ZP,0.288045679864894,3921478600.0,26933200.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ACRO,2025-09-04,85.0,49378000.0,0.011904761904761862,1.6464162821094188,,,,1.0,,,1,CC,0.3194152512769314,197781700.0,-27663500.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ACST,2025-09-04,144.0,28347000.0,-0.07692307692307687,0.319322041917284,,,,1.0,,,1,CC,0.2388156891020026,316980900.0,-299609800.0,10.0,9.0,19.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ADCP,2025-09-04,62.0,254052300.0,-0.10144927536231885,0.28783241269526016,,,,1.0,,,1,PD,0.2688272152412401,597876700.0,-285525600.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ADES,2025-09-04,13725.0,4500.0,0.003656307129798808,0.5844155844155844,,,,1.0,,,0,XL,0.5815985412551284,19137500.0,0.0,5.0,3.0,8.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ADHI,2025-09-04,290.0,45994600.0,-0.013605442176870763,0.5218727218574042,,,,1.0,,,1,ZP,0.2815706493591282,1119605600.0,448943200.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ADMF,2025-09-04,8975.0,25000.0,-0.002777777777777768,0.8865248226950354,,,,1.0,,,0,PD,0.5133359986292764,89880000.0,0.0,10.0,6.0,16.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ADMG,2025-09-04,148.0,1234800.0,-0.013333333333333308,0.3899943149516771,,,,1.0,,,1,KK,0.4647286209945013,50938300.0,-1252500.0,10.0,7.0,17.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ADMR,2025-09-04,1025.0,60574500.0,0.0,1.2928600242033077,,,,1.0,,,0,YP,0.3707823247785017,8310173500.0,-1574454000.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ADRO,2025-09-04,1760.0,167436900.0,0.01734104046242768,1.3490366665350693,,,,1.0,,,0,ZP,0.354069148526497,29536960000.0,10728786000.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AEGS,2025-09-04,45.0,210332900.0,-0.021739130434782594,0.6478668861820798,,,,1.0,,,1,XC,0.2582636473408186,171963300.0,-66751300.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AGAR,2025-09-04,250.0,49300.0,0.0,1.251269035532995,,,,1.0,,,1,OD,0.9682266678736308,10696000.0,0.0,5.0,7.0,12.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AGII,2025-09-04,830.0,483700.0,-0.005988023952095856,1.1173481173481175,,,,1.0,,,0,PD,0.3648933819549385,123028000.0,-10932000.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AGRO,2025-09-04,232.0,7431000.0,-0.016949152542372836,1.0522216872929115,,,,1.0,,,1,NI,0.41625796797648,353621800.0,-45338800.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AGRS,2025-09-04,77.0,21784800.0,-0.012820512820512775,1.6027250622592855,,,,1.0,,,1,YP,0.3267413522584556,195356400.0,-40405300.0,10.0,7.0,17.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AHAP,2025-09-04,77.0,9793900.0,-0.025316455696202556,0.9458958287055369,,,,1.0,,,1,CC,0.1658531047047026,50543800.0,-40341600.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AIMS,2025-09-04,320.0,41700.0,-0.018404907975460127,1.5977011494252873,,,,1.0,,,1,YJ,0.5457402234636871,3126000.0,0.0,5.0,3.0,8.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AISA,2025-09-04,123.0,23626100.0,0.016528925619834656,1.4798962711482209,,,,1.0,,,1,CC,0.4189858458478325,414206600.0,63825700.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AKKU,2025-09-04,,,,,,,,,,,0,,,,,,,,,2025-09-04,,0,,0
AKPI,2025-09-04,555.0,28600.0,0.0,1.4857142857142858,,,,1.0,,,0,YP,0.3597359735973597,2071000.0,0.0,6.0,2.0,8.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AKRA,2025-09-04,1230.0,18458100.0,-0.004048582995951455,0.9475167475167475,,,,1.0,,,0,DP,0.2614815698569828,3530782500.0,1210093000.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AKSI,2025-09-04,246.0,252600.0,-0.008064516129032251,1.4841363102232668,,,,1.0,,,1,XL,0.3949163422140367,13165800.0,-48200.0,10.0,6.0,16.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ALDO,2025-09-04,500.0,38300.0,0.0,0.4860406091370558,,,,1.0,,,0,CC,0.8630519518296585,14835000.0,0.0,2.0,7.0,9.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ALII,2025-09-04,535.0,2313300.0,0.009433962264151052,1.196060183030867,,,,1.0,,,0,KI,0.93764135156358,637635500.0,0.0,6.0,8.0,14.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ALKA,2025-09-04,316.0,10400.0,-0.0062893081761006275,0.2740447957839262,,,,1.0,,,1,YP,0.4305222088835534,573800.0,0.0,4.0,2.0,6.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ALMI,2025-09-04,,,,,,,,,,,0,,,,,,,,,2025-09-04,,0,,0
ALTO,2025-09-04,,,,,,,,,,,0,,,,,,,,,2025-09-04,,0,,0
AMAG,2025-09-04,370.0,71100.0,0.0,0.8444180522565321,,,,1.0,,,1,XL,0.5087911535561699,10122400.0,0.0,5.0,7.0,12.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AMAN,2025-09-04,123.0,2303700.0,-0.016000000000000014,0.5737876410371366,,,,1.0,,,1,PD,0.4565739763965408,54057400.0,221400.0,7.0,10.0,17.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AMAR,2025-09-04,210.0,949300.0,0.009615384615384581,1.4251613871791022,,,,1.0,,,1,XL,0.3982791838389596,54223600.0,-1985200.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AMFG,2025-09-04,3330.0,7500.0,0.0,0.2604166666666667,,,,1.0,,,0,AO,0.5817440675498617,11988000.0,0.0,7.0,7.0,14.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AMIN,2025-09-04,218.0,586600.0,-0.03539823008849563,0.5734956249694481,,,,1.0,,,1,GR,0.5509478929693424,45772200.0,-220400.0,10.0,8.0,18.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AMMN,2025-09-04,8075.0,25561300.0,0.006230529595015577,0.9566372691565665,,,,1.0,,,0,BK,0.6446740283666507,64743982500.0,1226610000.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AMMS,2025-09-04,196.0,8758200.0,0.0949720670391061,1.039937780891372,,,,1.0,,,1,CP,0.4095175299102062,288679800.0,71730700.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AMOR,2025-09-04,478.0,82100.0,0.0,0.9188584219362059,,,,1.0,,,1,CC,0.5079024116657319,18111800.0,0.0,10.0,4.0,14.0,0.0,2025-09-04,2025-09-04,0,0.0,0
AMRT,2025-09-04,2080.0,25225600.0,-0.028037383177570097,1.0299189966030833,,,,1.0,,,0,BQ,0.2958663737402308,9932833000.0,-4830356000.0,10.0,8.0,18.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ANDI,2025-09-04,31.0,14828700.0,-0.08823529411764708,1.3295109158560092,,,,1.0,,,1,XL,0.2027037831003962,76062000.0,-38781200.0,10.0,2.0,12.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ANJT,2025-09-04,1795.0,912500.0,0.0,0.8609302764411737,,,,1.0,,,0,YP,0.5512293709419619,781823500.0,0.0,7.0,8.0,15.0,0.0,2025-09-04,2025-09-04,0,0.0,0
ANTM,2025-09-04,3390.0,142473100.0,-0.025862068965517238,0.5321277213200902,,,,1.0,,,0,BK,0.2864635163659357,45505493000.0,26845160000.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
APEX,2025-09-04,125.0,23282800.0,-0.015748031496062964,0.783291784835976,,,,1.0,,,1,PD,0.2477752452647468,148191500.0,-5266800.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
