symbol,date,close,volume
AADI,2025-09-02,,
AALI,2025-09-02,,
ABBA,2025-09-02,,
ABDA,2025-09-02,,
ABMM,2025-09-02,,
ACES,2025-09-02,,
ACRO,2025-09-02,,
ACST,2025-09-02,,
ADCP,2025-09-02,,
ADES,2025-09-02,,
ADHI,2025-09-02,,
ADMF,2025-09-02,,
ADMG,2025-09-02,,
ADMR,2025-09-02,,
ADRO,2025-09-02,,
AEGS,2025-09-02,,
AGAR,2025-09-02,,
AGII,2025-09-02,,
AGRO,2025-09-02,,
AGRS,2025-09-02,,
AHAP,2025-09-02,,
AIMS,2025-09-02,,
AISA,2025-09-02,,
AKKU,2025-09-02,,
AKPI,2025-09-02,,
AKRA,2025-09-02,,
AKSI,2025-09-02,,
ALDO,2025-09-02,,
ALII,2025-09-02,,
ALKA,2025-09-02,,
ALMI,2025-09-02,,
ALTO,2025-09-02,,
AMAG,2025-09-02,,
AMAN,2025-09-02,,
AMAR,2025-09-02,,
AMFG,2025-09-02,,
AMIN,2025-09-02,,
AMMN,2025-09-02,,
AMMS,2025-09-02,,
AMOR,2025-09-02,,
AMRT,2025-09-02,,
ANDI,2025-09-02,,
ANJT,2025-09-02,,
ANTM,2025-09-02,,
APEX,2025-09-02,,
APIC,2025-09-02,,
APII,2025-09-02,,
APLI,2025-09-02,,
APLN,2025-09-02,,
ARCI,2025-09-02,,
AREA,2025-09-02,,
ARGO,2025-09-02,,
ARII,2025-09-02,,
ARKA,2025-09-02,,
ARKO,2025-09-02,,
ARMY,2025-09-02,,
ARNA,2025-09-02,,
ARTA,2025-09-02,,
ARTI,2025-09-02,,
ARTO,2025-09-02,,
ASBI,2025-09-02,,
ASDM,2025-09-02,,
ASGR,2025-09-02,,
ASHA,2025-09-02,,
ASII,2025-09-02,,
ASJT,2025-09-02,,
ASLC,2025-09-02,,
ASLI,2025-09-02,,
ASMI,2025-09-02,,
ASPI,2025-09-02,,
ASPR,2025-09-02,,
ASRI,2025-09-02,,
ASRM,2025-09-02,,
ASSA,2025-09-02,,
ATAP,2025-09-02,,
ATIC,2025-09-02,,
ATLA,2025-09-02,,
AUTO,2025-09-02,,
AVIA,2025-09-02,,
AWAN,2025-09-02,,
AXIO,2025-09-02,,
AYAM,2025-09-02,,
AYLS,2025-09-02,,
BABP,2025-09-02,,
BABY,2025-09-02,,
BACA,2025-09-02,,
BAIK,2025-09-02,,
BAJA,2025-09-02,,
BALI,2025-09-02,,
BANK,2025-09-02,,
BAPA,2025-09-02,,
BAPI,2025-09-02,,
BATA,2025-09-02,,
BATR,2025-09-02,,
BAUT,2025-09-02,,
BAYU,2025-09-02,,
BBCA,2025-09-02,,
BBHI,2025-09-02,,
BBKP,2025-09-02,,
BBLD,2025-09-02,,
