symbol,date,close,volume,source_date
AADI,2025-09-05,7250.0,13726000.0,2025-09-04
AALI,2025-09-05,7350.0,890700.0,2025-09-04
ABBA,2025-09-05,42.0,1293800.0,2025-09-04
ABDA,2025-09-05,3400.0,100.0,2025-09-01
ABMM,2025-09-05,2960.0,481700.0,2025-09-04
ACES,2025-09-05,440.0,50209300.0,2025-09-04
ACRO,2025-09-05,85.0,49378000.0,2025-09-04
ACST,2025-09-05,144.0,28347000.0,2025-09-04
ADCP,2025-09-05,62.0,254052300.0,2025-09-04
ADES,2025-09-05,13725.0,4500.0,2025-09-04
ADHI,2025-09-05,290.0,45994600.0,2025-09-04
ADMF,2025-09-05,8975.0,25000.0,2025-09-04
ADMG,2025-09-05,148.0,1234800.0,2025-09-04
ADMR,2025-09-05,1025.0,60574500.0,2025-09-04
ADRO,2025-09-05,1760.0,167436900.0,2025-09-04
AEGS,2025-09-05,45.0,210332900.0,2025-09-04
AGAR,2025-09-05,250.0,49300.0,2025-09-04
AGII,2025-09-05,830.0,483700.0,2025-09-04
AGRO,2025-09-05,232.0,7431000.0,2025-09-04
AGRS,2025-09-05,77.0,21784800.0,2025-09-04
AHAP,2025-09-05,77.0,9793900.0,2025-09-04
AIMS,2025-09-05,320.0,41700.0,2025-09-04
AISA,2025-09-05,123.0,23626100.0,2025-09-04
AKKU,2025-09-05,,,2025-09-05
AKPI,2025-09-05,555.0,28600.0,2025-09-04
AKRA,2025-09-05,1230.0,18458100.0,2025-09-04
AKSI,2025-09-05,246.0,252600.0,2025-09-04
ALDO,2025-09-05,500.0,38300.0,2025-09-04
ALII,2025-09-05,535.0,2313300.0,2025-09-04
ALKA,2025-09-05,316.0,10400.0,2025-09-04
ALMI,2025-09-05,,,2025-09-05
ALTO,2025-09-05,,,2025-09-05
AMAG,2025-09-05,370.0,71100.0,2025-09-04
AMAN,2025-09-05,123.0,2303700.0,2025-09-04
AMAR,2025-09-05,210.0,949300.0,2025-09-04
AMFG,2025-09-05,3330.0,7500.0,2025-09-04
AMIN,2025-09-05,218.0,586600.0,2025-09-04
AMMN,2025-09-05,8075.0,25561300.0,2025-09-04
AMMS,2025-09-05,196.0,8758200.0,2025-09-04
AMOR,2025-09-05,478.0,82100.0,2025-09-04
AMRT,2025-09-05,2080.0,25225600.0,2025-09-04
ANDI,2025-09-05,31.0,14828700.0,2025-09-04
ANJT,2025-09-05,1795.0,912500.0,2025-09-04
ANTM,2025-09-05,3390.0,142473100.0,2025-09-04
APEX,2025-09-05,125.0,23282800.0,2025-09-04
APIC,2025-09-05,1140.0,4247200.0,2025-09-04
APII,2025-09-05,176.0,61100.0,2025-09-04
APLI,2025-09-05,480.0,9700.0,2025-09-04
APLN,2025-09-05,103.0,15391400.0,2025-09-04
ARCI,2025-09-05,850.0,107894200.0,2025-09-04
AREA,2025-09-05,515.0,1231700.0,2025-09-04
ARGO,2025-09-05,1350.0,38200.0,2025-09-04
ARII,2025-09-05,258.0,66600.0,2025-09-04
ARKA,2025-09-05,39.0,12919200.0,2025-09-04
ARKO,2025-09-05,1355.0,549900.0,2025-09-04
ARMY,2025-09-05,,,2025-09-05
ARNA,2025-09-05,570.0,623100.0,2025-09-04
ARTA,2025-09-05,3340.0,3400.0,2025-09-04
ARTI,2025-09-05,,,2025-09-05
ARTO,2025-09-05,2170.0,4567700.0,2025-09-04
ASBI,2025-09-05,444.0,7400.0,2025-09-04
ASDM,2025-09-05,540.0,16200.0,2025-09-04
ASGR,2025-09-05,1185.0,702800.0,2025-09-04
ASHA,2025-09-05,42.0,5826400.0,2025-09-04
ASII,2025-09-05,5500.0,26987400.0,2025-09-04
ASJT,2025-09-05,110.0,61800.0,2025-09-04
ASLC,2025-09-05,101.0,305299700.0,2025-09-04
ASLI,2025-09-05,,,2025-09-05
ASMI,2025-09-05,29.0,2271800.0,2025-09-04
ASPI,2025-09-05,422.0,2930100.0,2025-09-04
ASPR,2025-09-05,,,2025-09-05
ASRI,2025-09-05,173.0,21341600.0,2025-09-04
ASRM,2025-09-05,276.0,49700.0,2025-09-04
ASSA,2025-09-05,840.0,4194700.0,2025-09-04
ATAP,2025-09-05,57.0,1451200.0,2025-09-04
